 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=2*10^17 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4601 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 -------------------------------------------------------------------------------------------------------------------
   26   30   56      491.710        3.725        3.675         3.70         0.12          3.2                          
   26   31   57      501.320        3.758        3.677         3.72         0.11         16.4        9.610             
   26   32   58      508.840        3.802        3.701         3.76         0.12         23.4        7.520       17.130
   26   33   59      516.880        3.831        3.706         3.78         0.11         21.6        8.040       15.560
   26   34   60      523.720        3.874        3.727         3.81         0.11         53.5        6.840       14.880
   26   35   61      531.860        3.897        3.723         3.82         0.09         47.3        8.140       14.980
   26   36   62      538.120        3.931        3.739         3.85         0.08         35.1        6.260       14.400
   26   37   63      544.290        3.962        3.750         3.88         0.07         36.1        6.170       12.430
   26   38   64      550.730        3.992        3.758         3.90         0.06         47.8        6.440       12.610
   26   39   65      557.050        4.022        3.767         3.92         0.04         25.5        6.320       12.760
   26   40   66      562.560        4.053        3.781         3.95         0.02          0.2        5.510       11.830
   26   41   67      566.820        4.079        3.793         3.97         0.03         27.4        4.260        9.770
   26   42   68      571.250        4.112        3.808         4.00         0.06          6.4        4.430        8.690
   26   43   69      575.080        4.147        3.827         4.03         0.08          0.2        3.830        8.260
   26   44   70      579.680        4.179        3.844         4.06         0.10          0.4        4.600        8.430
   26   45   71      584.410        4.204        3.853         4.08         0.11          0.6        4.730        9.330
   26   46   72      588.000        4.232        3.865         4.10         0.12          3.2        3.590        8.320
   26   47   73      591.150        4.251        3.873         4.12         0.11          6.2        3.150        6.740
   26   48   74      593.600        4.280        3.888         4.15         0.11         13.1        2.450        5.600
   26   49   75      595.720        4.300        3.889         4.16         0.09         28.8        2.120        4.570
   26   50   76      597.730        4.338        3.900         4.19         0.09         57.3        2.010        4.130
   26   51   77      600.560        4.378        3.906         4.22         0.09         39.2        2.830        4.840
   26   52   78      603.170        4.418        3.912         4.26         0.10         30.2        2.610        5.440
   26   53   79      604.400        4.464        3.921         4.29         0.10         28.0        1.230        3.840
   26   54   80      606.120        4.508        3.927         4.33         0.09         31.9        1.720        2.950
   26   55   81      607.450        4.557        3.934         4.37         0.09         41.2        1.330        3.050
   26   56   82      609.030        4.612        3.938         4.41         0.10         53.2        1.580        2.910
   26   57   83      610.100        4.656        3.944         4.45         0.09         52.6        1.070        2.650
   26   58   84      609.560        4.701        3.965         4.49         0.11         51.0       -0.540        0.530
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   27   33   60      527.040        3.836        3.737         3.79         0.12         34.4                          
   27   34   61      534.810        3.878        3.758         3.83         0.12         54.3        7.770             
   27   35   62      542.740        3.897        3.754         3.84         0.10         51.3        7.930       15.700
   27   36   63      550.210        3.928        3.765         3.86         0.09         40.0        7.470       15.400
   27   37   64      557.120        3.957        3.776         3.88         0.07         39.6        6.910       14.380
   27   38   65      564.000        3.987        3.784         3.90         0.06         53.4        6.880       13.790
   27   39   66      570.300        4.016        3.796         3.93         0.03         40.2        6.300       13.180
   27   40   67      576.620        4.047        3.810         3.95         0.01          1.9        6.320       12.620
   27   41   68      581.550        4.073        3.820         3.97         0.03         35.1        4.930       11.250
   27   42   69      586.560        4.102        3.833         4.00         0.05          6.2        5.010        9.940
   27   43   70      592.150        4.132        3.846         4.02         0.08          1.4        5.590       10.600
   27   44   71      597.170        4.165        3.863         4.05         0.10          0.1        5.020       10.610
   27   45   72      601.910        4.190        3.874         4.07         0.11          1.1        4.740        9.760
   27   46   73      606.270        4.216        3.886         4.10         0.11          2.6        4.360        9.100
   27   47   74      610.730        4.235        3.893         4.11         0.10          6.4        4.460        8.820
   27   48   75      613.990        4.259        3.902         4.13         0.10         15.3        3.260        7.720
   27   49   76      615.940        4.279        3.909         4.15         0.08         29.9        1.950        5.210
   27   50   77      618.410        4.311        3.919         4.18         0.08         55.9        2.470        4.420
   27   51   78      621.590        4.348        3.925         4.21         0.08         38.0        3.180        5.650
   27   52   79      623.980        4.392        3.935         4.24         0.09         29.9        2.390        5.570
   27   53   80      626.080        4.436        3.943         4.28         0.09         27.7        2.100        4.490
   27   54   81      628.070        4.479        3.948         4.31         0.09         33.2        1.990        4.090
   27   55   82      629.100        4.528        3.957         4.35         0.10         42.4        1.030        3.020
   27   56   83      630.730        4.579        3.965         4.39         0.10         55.1        1.630        2.660
   27   57   84      631.320        4.624        3.982         4.43         0.11         53.5        0.590        2.220
   27   58   85      632.560        4.663        3.999         4.46         0.12         53.2        1.240        1.830
   27   59   86      631.600        4.700        4.009         4.49         0.11         49.8       -0.960        0.280
   27   60   87      633.390        4.745        4.007         4.53         0.10         42.8        1.790        0.830
   27   61   88      634.140        4.779        4.023         4.56         0.10         47.6        0.750        2.540
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  28   Ni
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   28   30   58      505.710        3.733        3.732         3.73         0.11          6.4                          
   28   31   59      516.830        3.764        3.739         3.75         0.11         19.3       11.120             
   28   32   60      526.210        3.805        3.755         3.78         0.12         27.7        9.380       20.500
   28   33   61      535.500        3.842        3.770         3.81         0.12         48.2        9.290       18.670
   28   34   62      542.560        3.882        3.791         3.84         0.13         58.9        7.060       16.350
   28   35   63      553.200        3.899        3.785         3.85         0.10         58.6       10.640       17.700
   28   36   64      559.960        3.930        3.798         3.87         0.09         44.6        6.760       17.400
   28   37   65      567.930        3.955        3.803         3.89         0.07         43.8        7.970       14.730
   28   38   66      575.830        3.984        3.813         3.91         0.06         57.1        7.900       15.870
   28   39   67      583.270        4.010        3.817         3.93         0.03         49.9        7.440       15.340
   28   40   68      590.110        4.043        3.835         3.96         0.00          5.1        6.840       14.280
   28   41   69      596.460        4.065        3.840         3.97         0.02         19.7        6.350       13.190
   28   42   70      601.590        4.093        3.853         4.00         0.04          1.2        5.130       11.480
   28   43   71      606.930        4.124        3.869         4.03         0.07          2.7        5.340       10.470
   28   44   72      611.660        4.158        3.888         4.05         0.09          0.6        4.730       10.070
   28   45   73      617.630        4.185        3.902         4.08         0.10          0.4        5.970       10.700
   28   46   74      620.980        4.210        3.914         4.10         0.11          1.5        3.350        9.320
   28   47   75      626.280        4.230        3.921         4.12         0.10          4.0        5.300        8.650
   28   48   76      630.690        4.249        3.926         4.13         0.09         10.4        4.410        9.710
