 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=4*10^17 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4601 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 -------------------------------------------------------------------------------------------------------------------
   26   30   56      495.680        3.700        3.700         3.71         0.10          1.0                          
   26   31   57      502.760        3.800        3.700         3.71         0.02          3.1        7.080             
   26   32   58      516.060        3.800        3.700         3.76         0.10         27.9       13.300       20.380
   26   33   59      523.830        3.800        3.700         3.78         0.08         13.3        7.770       21.070
   26   34   60      533.295        3.900        3.700         3.81         0.12          5.9        9.465       17.235
   26   35   61      538.055        3.900        3.700         3.84         0.12          2.4        4.760       14.225
   26   36   62      542.855        4.000        3.800         3.88         0.16          3.2        4.800        9.560
   26   37   63      549.705        4.000        3.800         3.92         0.18          0.3        6.850       11.650
   26   38   64      555.895        4.000        3.800         3.95         0.20          0.4        6.190       13.040
   26   39   65      559.825        4.100        3.800         3.97         0.19          7.8        3.930       10.120
   26   40   66      567.190        4.100        3.800         3.99         0.18          5.9        7.365       11.295
   26   41   67      571.405        4.100        3.800         4.01         0.17          7.7        4.215       11.580
   26   42   68      576.360        4.200        3.900         4.04         0.17          8.8        4.955        9.170
   26   43   69      586.085        4.200        3.900         4.05         0.15          3.0        9.725       14.680
   26   44   70      580.060        4.200        3.900         4.09         0.15          1.6       -6.025        3.700
   26   45   71      594.475        4.200        3.900         4.10         0.13          0.8       14.415        8.390
   26   46   72      590.690        4.300        3.900         4.13         0.14          0.9       -3.785       10.630
   26   47   73      602.530        4.300        3.900         4.15         0.13          0.5       11.840        8.055
   26   48   74      605.285        4.300        3.900         4.17         0.12          0.4        2.755       14.595
   26   49   75      609.770        4.400        3.900         4.21         0.11          7.6        4.485        7.240
   26   50   76      603.595        4.400        3.900         4.24         0.11          2.9       -6.175       -1.690
   26   51   77      609.685        4.500        3.900         4.27         0.08         29.1        6.090       -0.085
