 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=9*10^14 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4557 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   26        30        56           486.900          3.700          3.700           3.70           0.12            1.0
   26        31        57           495.040          3.800          3.700           3.73           0.13           21.5
   26        32        58           502.980          3.800          3.700           3.77           0.16           18.6
   26        33        59           510.300          3.900          3.700           3.80           0.18           15.3
   26        34        60           516.815          3.900          3.800           3.85           0.22           12.7
   26        35        61           523.475          4.000          3.800           3.88           0.22            7.0
   26        36        62           529.310          4.000          3.800           3.92           0.25            3.0
   26        37        63           536.480          4.000          3.800           3.94           0.24            0.5
   26        38        64           540.680          4.100          3.800           3.97           0.26            2.9
   26        39        65           548.645          4.100          3.800           3.99           0.24            2.6
   26        40        66           553.610          4.100          3.900           4.01           0.23            6.4
   26        41        67           558.810          4.100          3.900           4.03           0.21           10.0
   26        42        68           563.315          4.200          3.900           4.05           0.20           11.7
   26        43        69           568.805          4.200          3.900           4.06           0.19            8.3
   26        44        70           570.205          4.300          3.900           4.14           0.21            7.4
   26        45        71           576.215          4.200          3.900           4.12           0.19            2.3
   26        46        72           575.900          4.600          3.900           4.34           0.20            3.7
   26        47        73           580.925          4.300          3.900           4.19           0.18            8.0
   26        48        74           582.700          4.600          3.900           4.37           0.17            8.6
   26        49        75           586.685          4.400          3.900           4.25           0.17            2.4
   26        50        76           587.060          4.700          3.900           4.47           0.17            3.9
   26        51        77           589.385          4.500          3.900           4.29           0.14           31.2
   26        52        78           592.545          4.700          3.900           4.48           0.13            3.8
   26        53        79           595.550          4.500          3.900           4.34           0.10           20.6
   26        54        80           594.690          4.800          3.900           4.53           0.08           11.1
   26        55        81           593.845          5.000          3.900           4.66           0.09           25.9
   26        56        82           595.510          5.000          3.900           4.70           0.07           20.8
   26        57        83           596.465          5.100          3.900           4.76           0.07            2.3
   26        58        84           594.925          5.300          3.900           4.94           0.06            4.4
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   27        30        57           487.270          3.800          3.700           3.73           0.07           17.9
   27        31        58           503.360          3.800          3.700           3.73           0.11           21.4
   27        32        59           512.730          3.800          3.700           3.77           0.12           26.0
   27        33        60           520.265          3.800          3.700           3.79           0.11           59.1
   27        34        61           528.970          3.900          3.800           3.82           0.12           60.0
   27        35        62           535.970          3.900          3.800           3.83           0.09           54.2
   27        36        63           543.560          3.900          3.800           3.86           0.09           44.0
   27        37        64           549.775          4.000          3.800           3.88           0.07           60.0
   27        38        65           556.740          4.000          3.800           3.90           0.06           60.0
   27        39        66           562.450          4.000          3.800           3.92           0.00           53.7
   27        40        67           570.000          4.000          3.800           3.95           0.00           42.7
   27        41        68           574.140          4.100          3.800           3.97           0.02            1.0
   27        42        69           579.150          4.100          3.800           3.99           0.05            0.5
   27        43        70           583.850          4.100          3.800           4.02           0.08            0.1
   27        44        71           589.380          4.200          3.900           4.05           0.10            0.0
   27        45        72           593.520          4.200          3.900           4.07           0.11            0.1
   27        46        73           598.550          4.200          3.900           4.10           0.12            0.4
   27        47        74           602.010          4.200          3.900           4.11           0.10            1.8
   27        48        75           606.060          4.200          3.900           4.13           0.09            5.9
   27        49        76           608.285          4.300          3.900           4.13           0.04           47.7
   27        50        77           611.610          4.300          3.900           4.16           0.06           60.0
   27        51        78           613.885          4.300          3.900           4.19           0.06           36.3
   27        52        79           616.225          4.400          3.900           4.23           0.09           25.2
   27        53        80           617.910          4.400          3.900           4.27           0.09           33.7
   27        54        81           619.975          4.500          4.000           4.31           0.09           34.9
   27        55        82           621.435          4.500          4.000           4.34           0.08           59.4
   27        56        83           623.380          4.600          4.000           4.37           0.08           59.7
   27        57        84           623.085          4.600          4.000           4.42           0.11           56.2
   27        58        85           622.660          4.700          4.000           4.46           0.13           55.5
   27        59        86           626.195          4.700          4.000           4.48           0.07           41.8
   27        60        87           625.815          4.700          4.000           4.52           0.09           42.7
   27        61        88           627.930          4.800          4.000           4.56           0.04           58.4
   27        62        89           626.825          4.800          4.000           4.59           0.07           59.4
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  28   Ni
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   28        30        58           496.545          3.700          3.700           3.71           0.06            8.6
   28        31        59           511.215          3.800          3.700           3.74           0.09           31.7
   28        32        60           520.970          3.800          3.800           3.78           0.12           31.2
   28        33        61           529.815          3.800          3.800           3.80           0.12           60.0
   28        34        62           539.090          3.900          3.800           3.83           0.13           60.0
   28        35        63           547.715          3.900          3.800           3.84           0.10           57.8
   28        36        64           555.460          3.900          3.800           3.86           0.09           47.9
   28        37        65           562.560          4.000          3.800           3.88           0.07           60.0
   28        38        66           570.075          4.000          3.800           3.91           0.06           60.0
   28        39        67           576.695          4.000          3.800           3.93           0.00           40.7
   28        40        68           584.850          4.000          3.800           3.95           0.00           44.7
   28        41        69           589.540          4.100          3.800           3.97           0.02            3.8
