 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=5*10^16 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4560 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   26        30        56           488.210          3.700          3.700           3.70           0.13            0.2
   26        31        57           496.270          3.800          3.700           3.72           0.12           16.0
   26        32        58           504.795          3.800          3.700           3.76           0.14           20.0
   26        33        59           511.520          3.900          3.700           3.80           0.17           15.2
   26        34        60           517.845          3.900          3.800           3.85           0.21           11.7
   26        35        61           524.640          3.900          3.800           3.86           0.20            5.3
   26        36        62           530.805          4.000          3.800           3.91           0.23            1.9
   26        37        63           537.740          4.000          3.800           3.93           0.22            0.3
   26        38        64           542.955          4.100          3.800           3.97           0.25            1.8
   26        39        65           549.755          4.100          3.800           3.98           0.23            1.7
   26        40        66           554.925          4.100          3.800           4.00           0.22            4.6
   26        41        67           560.220          4.100          3.800           4.02           0.20            7.9
   26        42        68           565.005          4.200          3.900           4.04           0.19            8.8
   26        43        69           569.975          4.200          3.900           4.06           0.18            4.8
   26        44        70           573.005          4.200          3.900           4.10           0.20            3.5
   26        45        71           577.960          4.200          3.900           4.10           0.16            1.0
   26        46        72           580.700          4.300          3.900           4.14           0.18            1.7
   26        47        73           584.265          4.300          3.900           4.15           0.16            3.1
   26        48        74           588.020          4.300          3.900           4.17           0.14            3.2
   26        49        75           590.695          4.300          3.900           4.19           0.14            1.9
   26        50        76           593.460          4.400          3.900           4.23           0.15            2.1
   26        51        77           594.310          4.400          3.900           4.23           0.12           17.0
   26        52        78           595.810          4.500          3.900           4.34           0.12            4.7
   26        53        79           597.310          4.500          3.900           4.31           0.10           18.8
   26        54        80           597.890          4.600          3.900           4.38           0.08            9.5
   26        55        81           599.890          4.600          3.900           4.37           0.08           23.0
   26        56        82           599.235          4.800          3.900           4.58           0.07            8.9
   26        57        83           601.560          4.700          3.900           4.50           0.07            9.2
   26        58        84           600.535          5.000          3.900           4.71           0.07            3.8
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   27        30        57           494.395          3.700          3.700           3.70           0.08            6.0
   27        31        58           503.895          3.800          3.700           3.73           0.11           19.0
   27        32        59           513.215          3.800          3.700           3.77           0.13           24.2
   27        33        60           520.615          3.800          3.700           3.79           0.11           57.5
   27        34        61           529.340          3.900          3.800           3.82           0.12           59.6
   27        35        62           536.445          3.900          3.800           3.83           0.10           55.5
   27        36        63           544.010          3.900          3.800           3.86           0.09           42.6
   27        37        64           550.120          4.000          3.800           3.88           0.07           58.4
   27        38        65           557.105          4.000          3.800           3.90           0.06           59.5
   27        39        66           562.710          4.000          3.800           3.92           0.00            0.7
   27        40        67           570.080          4.000          3.800           3.95           0.00            0.7
   27        41        68           574.265          4.100          3.800           3.97           0.03            2.6
   27        42        69           579.330          4.100          3.800           4.00           0.05            0.7
   27        43        70           583.975          4.100          3.900           4.02           0.08            0.1
   27        44        71           589.520          4.200          3.900           4.06           0.11            0.0
   27        45        72           593.765          4.200          3.900           4.08           0.12            0.0
   27        46        73           599.255          4.200          3.900           4.10           0.12            0.1
   27        47        74           602.320          4.200          3.900           4.11           0.11            0.5
   27        48        75           606.295          4.200          3.900           4.13           0.10            2.2
   27        49        76           608.560          4.200          3.900           4.13           0.02           38.7
   27        50        77           612.225          4.300          3.900           4.15           0.03           58.9
   27        51        78           614.495          4.300          3.900           4.19           0.06           26.5
   27        52        79           616.580          4.400          3.900           4.23           0.08           19.7
   27        53        80           618.270          4.400          3.900           4.27           0.08           33.5
   27        54        81           620.215          4.500          4.000           4.31           0.09           36.4
   27        55        82           621.550          4.500          4.000           4.34           0.08           57.8
   27        56        83           623.535          4.600          4.000           4.37           0.07           59.8
   27        57        84           624.385          4.600          4.000           4.41           0.08           57.2
   27        58        85           624.820          4.700          4.000           4.46           0.10           50.3
