 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=7*10^15 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4557 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   26        30        56           487.030          3.700          3.700           3.70           0.12            0.5
   26        31        57           495.040          3.800          3.700           3.73           0.13           21.5
   26        32        58           502.980          3.800          3.700           3.77           0.16           18.6
   26        33        59           510.300          3.900          3.700           3.80           0.18           15.3
   26        34        60           516.815          3.900          3.800           3.85           0.22           12.7
   26        35        61           523.475          4.000          3.800           3.88           0.22            7.0
   26        36        62           529.310          4.000          3.800           3.92           0.25            3.0
   26        37        63           536.480          4.000          3.800           3.94           0.24            0.5
   26        38        64           540.680          4.100          3.800           3.97           0.26            2.9
   26        39        65           548.645          4.100          3.800           3.99           0.24            2.6
   26        40        66           553.610          4.100          3.900           4.01           0.23            6.4
   26        41        67           558.810          4.100          3.900           4.03           0.21           10.0
   26        42        68           563.315          4.200          3.900           4.05           0.20           11.7
   26        43        69           568.805          4.200          3.900           4.06           0.19            8.3
   26        44        70           570.205          4.300          3.900           4.14           0.21            7.4
   26        45        71           576.215          4.200          3.900           4.12           0.19            2.3
   26        46        72           575.900          4.600          3.900           4.34           0.20            3.7
   26        47        73           580.925          4.300          3.900           4.19           0.18            8.0
   26        48        74           582.700          4.600          3.900           4.37           0.17            8.6
   26        49        75           586.685          4.400          3.900           4.25           0.17            2.4
   26        50        76           587.060          4.700          3.900           4.47           0.17            3.9
   26        51        77           589.385          4.500          3.900           4.29           0.14           31.2
   26        52        78           592.545          4.700          3.900           4.48           0.13            3.8
   26        53        79           595.550          4.500          3.900           4.34           0.10           20.6
   26        54        80           594.690          4.800          3.900           4.53           0.08           11.1
   26        55        81           593.845          5.000          3.900           4.66           0.09           25.9
   26        56        82           595.510          5.000          3.900           4.70           0.07           20.8
   26        57        83           596.465          5.100          3.900           4.76           0.07            2.3
   26        58        84           594.925          5.300          3.900           4.94           0.06            4.4
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   27        30        57           490.125          3.700          3.700           3.70           0.08            7.9
   27        31        58           503.420          3.800          3.700           3.73           0.10           21.5
   27        32        59           512.770          3.800          3.700           3.77           0.12           26.0
   27        33        60           520.300          3.800          3.700           3.79           0.11           59.1
   27        34        61           529.015          3.900          3.800           3.82           0.12           60.0
