 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=3*10^14 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4601 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 -------------------------------------------------------------------------------------------------------------------
   26   30   56      490.650        3.700        3.700         3.70         0.12          1.8                          
   26   31   57      499.360        3.800        3.700         3.73         0.13         21.5        8.710             
   26   32   58      507.620        3.800        3.700         3.77         0.16         18.6        8.260       16.970
   26   33   59      515.400        3.900        3.700         3.80         0.18         15.3        7.780       16.040
   26   34   60      522.900        3.900        3.800         3.85         0.22         12.7        7.500       15.280
   26   35   61      530.130        4.000        3.800         3.88         0.22          7.0        7.230       14.730
   26   36   62      536.730        4.000        3.800         3.92         0.25          3.0        6.600       13.830
   26   37   63      543.240        4.000        3.800         3.94         0.24          0.5        6.510       13.110
   26   38   64      549.200        4.100        3.800         3.97         0.26          2.9        5.960       12.470
   26   39   65      555.570        4.100        3.800         3.99         0.24          2.6        6.370       12.330
   26   40   66      561.360        4.100        3.900         4.01         0.23          6.4        5.790       12.160
   26   41   67      565.390        4.100        3.900         4.03         0.21         10.0        4.030        9.820
   26   42   68      569.320        4.200        3.900         4.05         0.20         11.7        3.930        7.960
   26   43   69      574.150        4.200        3.900         4.06         0.19          8.3        4.830        8.760
   26   44   70      578.390        4.300        3.900         4.14         0.21          7.4        4.240        9.070
   26   45   71      582.700        4.200        3.900         4.12         0.19          2.3        4.310        8.550
   26   46   72      586.340        4.600        3.900         4.34         0.20          3.7        3.640        7.950
   26   47   73      589.460        4.300        3.900         4.19         0.18          8.0        3.120        6.760
   26   48   74      592.220        4.600        3.900         4.37         0.17          8.6        2.760        5.880
   26   49   75      594.560        4.400        3.900         4.25         0.17          2.4        2.340        5.100
   26   50   76      597.090        4.700        3.900         4.47         0.17          3.9        2.530        4.870
   26   51   77      599.300        4.500        3.900         4.29         0.14         31.2        2.210        4.740
   26   52   78      601.260        4.700        3.900         4.48         0.13          3.8        1.960        4.170
   26   53   79      603.120        4.500        3.900         4.34         0.10         20.6        1.860        3.820
   26   54   80      604.620        4.800        3.900         4.53         0.08         11.1        1.500        3.360
   26   55   81      606.260        5.000        3.900         4.66         0.09         25.9        1.640        3.140
   26   56   82      607.520        5.000        3.900         4.70         0.07         20.8        1.260        2.900
   26   57   83      606.790        5.100        3.900         4.76         0.07          2.3       -0.730        0.530
   26   58   84      605.540        5.300        3.900         4.94         0.06          4.4       -1.250       -1.980
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   27   30   57      497.760        3.800        3.700         3.73         0.07         17.9                          
   27   31   58      507.360        3.800        3.700         3.73         0.11         21.1        9.600             
   27   32   59      516.380        3.800        3.700         3.77         0.12         25.8        9.020       18.620
   27   33   60      525.040        3.800        3.700         3.79         0.11         59.1        8.660       17.680
   27   34   61      533.360        3.900        3.800         3.82         0.12         60.0        8.320       16.980
   27   35   62      541.190        3.900        3.800         3.83         0.09         53.1        7.830       16.150
   27   36   63      548.350        3.900        3.800         3.86         0.09         43.5        7.160       14.990
   27   37   64      555.575        4.000        3.800         3.88         0.07         60.0        7.225       14.385
   27   38   65      562.220        4.000        3.800         3.90         0.06         60.0        6.645       13.870
   27   39   66      569.195        4.000        3.800         3.92         0.00         41.3        6.975       13.620
   27   40   67      575.585        4.000        3.800         3.95         0.00         45.2        6.390       13.365
   27   41   68      580.290        4.100        3.800         3.97         0.02          0.9        4.705       11.095
   27   42   69      584.810        4.100        3.800         3.99         0.05          0.4        4.520        9.225
   27   43   70      590.170        4.100        3.800         4.02         0.08          0.2        5.360        9.880
   27   44   71      594.890        4.200        3.900         4.05         0.10          0.1        4.720       10.080
   27   45   72      599.770        4.200        3.900         4.07         0.11          0.2        4.880        9.600
   27   46   73      603.970        4.200        3.900         4.10         0.12          0.6        4.200        9.080
   27   47   74      607.780        4.200        3.900         4.11         0.10          2.7        3.810        8.010
   27   48   75      611.090        4.200        3.900         4.13         0.09          7.7        3.310        7.120
   27   49   76      614.365        4.300        3.900         4.13         0.05         48.1        3.275        6.585
   27   50   77      617.310        4.300        3.900         4.17         0.07         60.0        2.945        6.220
   27   51   78      619.835        4.300        3.900         4.20         0.07         38.8        2.525        5.470
   27   52   79      622.070        4.400        3.900         4.24         0.09         27.0        2.235        4.760
   27   53   80      624.205        4.400        3.900         4.27         0.09         33.5        2.135        4.370
   27   54   81      625.970        4.500        4.000         4.31         0.10         33.9        1.765        3.900
   27   55   82      627.870        4.500        4.000         4.34         0.09         58.8        1.900        3.665
   27   56   83      629.340        4.600        4.000         4.38         0.09         59.4        1.470        3.370
   27   57   84      628.785        4.600        4.000         4.42         0.12         57.3       -0.555        0.915
   27   58   85      628.270        4.700        4.000         4.46         0.14         56.9       -0.515       -1.070
   27   59   86      631.240        4.700        4.000         4.48         0.09         41.5        2.970        2.455
   27   60   87      630.605        4.700        4.000         4.52         0.11         44.0       -0.635        2.335
   27   61   88      632.940        4.800        4.000         4.55         0.06         58.7        2.335        1.700
   27   62   89      632.035        4.800        4.000         4.58         0.08         59.3       -0.905        1.430
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  28   Ni
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   28   30   58      503.830        3.700        3.700         3.71         0.06          8.6                          
   28   31   59      514.305        3.800        3.700         3.74         0.10         30.8       10.475             
   28   32   60      524.020        3.800        3.800         3.78         0.12         30.9        9.715       20.190
   28   33   61      533.635        3.800        3.800         3.80         0.12         60.0        9.615       19.330
   28   34   62      542.710        3.900        3.800         3.83         0.13         60.0        9.075       18.690
   28   35   63      551.115        3.900        3.800         3.84         0.10         57.1        8.405       17.480
   28   36   64      558.880        3.900        3.800         3.86         0.09         47.3        7.765       16.170
   28   37   65      566.795        4.000        3.800         3.88         0.07         60.0        7.915       15.680
   28   38   66      574.110        4.000        3.800         3.91         0.06         60.0        7.315       15.230
   28   39   67      581.695        4.000        3.800         3.93         0.00         46.0        7.585       14.900
   28   40   68      588.700        4.000        3.800         3.95         0.00         45.5        7.005       14.590
   28   41   69      594.030        4.100        3.800         3.97         0.02          3.1        5.330       12.335
