 =======================================================================================================================
 Table: Nuclear properties of SLy4d model for B=5*10^17 G predicted by Skyrme3D code
 Authors: Wei jiang and Yan-jun Chen
 Article: Role of magnetic fields on the outer crust in a magnetar   doi:10.1088/1674-1137/ad39cc
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is incomplete table predicting the properties of 915 nuclides (Z = 26~50, N/A = 0.53~0.73)
 within the neutron drip line.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
   32        66        98           756.070
   32        67        99           756.160
   32        68       100           757.550
   32        69       101           757.060
   32        70       102           758.710
   32        71       103           759.840
   32        72       104           761.250
   32        73       105           760.820
   32        74       106           762.100
   32        75       107           761.870
   32        76       108           763.230
   32        77       109           766.910
   32        78       110           765.890
   32        79       111           767.550
   32        80       112           765.360
   32        81       113           765.200
   32        82       114           765.340
   32        83       115           763.210
   32        84       116           766.070
   32        85       117           764.690
   32        86       118           764.790
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  33   As
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   33        48        81           728.790
   33        49        82           735.510
   33        50        83           742.720
   33        51        84           747.950
   33        52        85           752.010
   33        53        86           752.220
   33        54        87           755.790
   33        55        88           759.430
   33        56        89           766.230
   33        57        90           765.430
   33        58        91           767.380
   33        59        92           774.530
   33        60        93           775.110
   33        61        94           772.990
   33        62        95           774.650
   33        63        96           775.370
   33        64        97           777.340
   33        65        98           777.330
   33        66        99           782.490
   33        67       100           783.590
   33        68       101           784.850
   33        69       102           784.860
   33        70       103           782.940
   33        71       104           787.600
   33        72       105           789.860
   33        73       106           788.920
   33        74       107           786.790
   33        75       108           787.360
   33        76       109           792.330
   33        77       110           793.120
   33        78       111           793.260
   33        79       112           794.760
   33        80       113           794.420
   33        81       114           795.520
   33        82       115           795.710
   33        83       116           795.820
   33        84       117           795.150
   33        85       118           795.680
   33        86       119           795.490
   33        87       120           791.970
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  34   Se
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   34        50        84           750.410
   34        51        85           756.100
   34        52        86           760.580
   34        53        87           764.960
   34        54        88           769.000
   34        55        89           773.040
   34        56        90           776.630
   34        57        91           779.580
   34        58        92           782.150
   34        59        93           785.500
   34        60        94           787.180
   34        61        95           789.260
   34        62        96           791.410
   34        63        97           792.730
   34        64        98           795.020
   34        65        99           795.150
   34        66       100           797.780
   34        67       101           798.060
   34        68       102           800.300
   34        69       103           801.000
   34        70       104           802.450
   34        71       105           804.700
   34        72       106           806.800
   34        73       107           806.030
   34        74       108           807.940
   34        75       109           808.440
   34        76       110           810.140
   34        77       111           810.120
   34        78       112           812.370
   34        79       113           812.730
   34        80       114           814.060
   34        81       115           813.830
   34        82       116           814.440
   34        83       117           814.060
   34        84       118           815.400
   34        85       119           813.270
   34        86       120           815.540
   34        87       121           815.210
   34        88       122           814.700
   34        89       123           814.710
   34        90       124           815.230
   34        91       125           813.900
   34        92       126           814.210
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  35   Br
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   35        50        85           768.540
   35        51        86           774.570
   35        52        87           779.410
   35        53        88           780.850
   35        54        89           784.920
   35        55        90           789.620
   35        56        91           793.210
   35        57        92           799.140
   35        58        93           800.400
   35        59        94           803.710
   35        60        95           805.980
   35        61        96           811.250
   35        62        97           811.710
   35        63        98           813.790
   35        64        99           816.410
   35        65       100           821.040
   35        66       101           820.190
   35        67       102           820.790
