 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=5x10^15 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of        3266 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 -------------------------------------------------------------------------------------------------------------------
   26   30   56      490.540        3.700        3.700         3.70         0.12          0.3                          
   26   31   57      499.090        3.800        3.700         3.73         0.12         15.2        8.550             
   26   32   58      507.625        3.800        3.700         3.76         0.13         20.8        8.535       17.085
   26   33   59      515.555        3.800        3.700         3.78         0.10         43.8        7.930       16.465
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   27   30   57      497.640        3.700        3.700         3.71         0.11          1.7                          
   27   31   58      507.260        3.800        3.700         3.73         0.11         21.0        9.620             
   27   32   59      516.290        3.800        3.700         3.77         0.12         25.6        9.030       18.650
   27   33   60      524.985        3.900        3.700         3.79         0.11         58.3        8.695       17.725
   27   34   61      533.335        3.900        3.800         3.83         0.13         60.0        8.350       17.045
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  28   Ni
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   28   33   61      533.150        3.848        3.759         3.81         0.12         60.0                          
   28   34   62      542.590        3.889        3.777         3.84         0.13         60.0        9.440             
   28   35   63      550.770        3.909        3.772         3.85         0.10         60.0        8.180       17.620
   28   36   64      558.820        3.939        3.779         3.87         0.09         50.6        8.050       16.230
   28   40   68      589.640        4.061        3.816         3.96         0.00         47.2                          
   28   50   78      637.555        4.300        3.900         4.19         0.06         60.0                          
   28   51   79      640.675        4.400        3.900         4.22         0.06         39.7        3.120             
   28   52   80      643.300        4.400        3.900         4.26         0.08         29.2        2.625        5.745
   28   53   81      646.000        4.500        4.000         4.29         0.09         38.9        2.700        5.325
   28   54   82      648.410        4.500        4.000         4.33         0.10         37.9        2.410        5.110
   28   55   83      650.695        4.600        4.000         4.36         0.09         59.7        2.285        4.695
   28   56   84      652.800        4.600        4.000         4.40         0.09         59.8        2.105        4.390
   28   57   85      653.235        4.700        4.000         4.45         0.12         57.8        0.435        2.540
   28   58   86      653.775        4.700        4.000         4.49         0.15         59.3        0.540        0.975
   28   59   87      657.865        4.700        4.000         4.50         0.07         43.1        4.090        4.630
   28   60   88      657.395        4.800        4.000         4.54         0.11         46.1       -0.470        3.620
   28   61   89      660.135        4.800        4.000         4.57         0.06         59.6        2.740        2.270
   28   62   90      660.240        4.800        4.000         4.60         0.09         59.9        0.105        2.845
   28   63   91      662.350        4.900        4.000         4.64         0.05         42.4        2.110        2.215
   28   64   92      661.755        4.900        4.100         4.67         0.07         46.5       -0.595        1.515
   28   65   93      662.780        5.000        4.000         4.70         0.05         59.4        1.025        0.430
   28   66   94      662.730        5.000        4.100         4.72         0.05         58.6       -0.050        0.975
   28   67   95      662.665        5.000        4.100         4.75         0.03         55.2       -0.065       -0.115
   28   68   96      662.525        5.000        4.100         4.77         0.03         50.5       -0.140       -0.205
   28   69   97      663.015        5.000        4.100         4.79         0.00          8.8        0.490        0.350
   28   70   98      663.020        5.100        4.100         4.82         0.00          4.7        0.005        0.495
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  29   Cu
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   29   50   79      654.740        4.300        4.000         4.18         0.04         60.0                          
   29   51   80      658.080        4.400        4.000         4.22         0.06         37.9        3.340             
   29   52   81      661.185        4.400        4.000         4.25         0.08         27.0        3.105        6.445
   29   53   82      664.155        4.500        4.000         4.29         0.09         34.9        2.970        6.075
   29   54   83      666.805        4.500        4.000         4.32         0.10         34.4        2.650        5.620
   29   55   84      669.490        4.500        4.000         4.35         0.09         58.9        2.685        5.335
   29   56   85      671.880        4.600        4.000         4.39         0.09         59.5        2.390        5.075
   29   57   86      672.740        4.600        4.000         4.43         0.12         58.7        0.860        3.250
   29   58   87      673.790        4.700        4.100         4.48         0.15         59.8        1.050        1.910
   29   59   88      676.865        4.700        4.000         4.49         0.09         40.7        3.075        4.125
   29   60   89      677.560        4.700        4.100         4.53         0.12         46.0        0.695        3.770
   29   61   90      680.225        4.800        4.000         4.55         0.07         59.5        2.665        3.360
   29   62   91      680.945        4.800        4.100         4.58         0.09         59.8        0.720        3.385
   29   63   92      681.630        4.800        4.100         4.61         0.09         54.4        0.685        1.405
   29   64   93      681.905        4.900        4.100         4.64         0.09         51.4        0.275        0.960
   29   65   94      684.180        4.900        4.100         4.68         0.05         59.3        2.275        2.550
   29   66   95      684.480        4.900        4.100         4.70         0.05         58.8        0.300        2.575
   29   67   96      684.710        5.000        4.100         4.72         0.04         55.6        0.230        0.530
   29   68   97      684.880        5.000        4.100         4.75         0.03         47.5        0.170        0.400
   29   69   98      685.640        5.000        4.100         4.77         0.00          9.8        0.760        0.930
   29   70   99      685.950        5.000        4.200         4.79         0.00          0.1        0.310        1.070
   29   71  100      685.340        5.100        4.200         4.87         0.00          1.4       -0.610       -0.300
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  30   Zn
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   30   50   80      671.305        4.300        4.000         4.18         0.04         59.9                          
   30   51   81      674.430        4.300        4.000         4.22         0.06         37.4        3.125             
   30   52   82      677.930        4.400        4.000         4.25         0.09         25.2        3.500        6.625
   30   53   83      681.230        4.400        4.000         4.28         0.09         30.8        3.300        6.800
   30   54   84      684.120        4.500        4.000         4.32         0.10         30.6        2.890        6.190
   30   55   85      687.075        4.500        4.000         4.35         0.09         56.2        2.955        5.845
   30   56   86      689.685        4.600        4.000         4.38         0.10         58.3        2.610        5.565
   30   57   87      691.290        4.600        4.100         4.43         0.13         59.2        1.605        4.215
   30   58   88      692.875        4.700        4.100         4.47         0.15         59.9        1.585        3.190
   30   59   89      695.610        4.700        4.100         4.48         0.11         39.0        2.735        4.320
   30   60   90      696.965        4.700        4.100         4.52         0.12         45.5        1.355        4.090
   30   61   91      699.445        4.800        4.100         4.53         0.08         58.2        2.480        3.835
   30   62   92      700.795        4.800        4.100         4.57         0.10         59.6        1.350        3.830
   30   63   93      701.630        4.800        4.100         4.60         0.10         55.7        0.835        2.185
   30   64   94      702.150        4.800        4.100         4.62         0.10         55.2        0.520        1.355
   30   65   95      704.675        4.900        4.100         4.66         0.06         59.1        2.525        3.045
   30   66   96      705.385        4.900        4.100         4.69         0.06         58.8        0.710        3.235
   30   67   97      705.905        4.900        4.100         4.71         0.04         55.5        0.520        1.230
   30   68   98      706.425        5.000        4.200         4.73         0.03         45.6        0.520        1.040
   30   69   99      707.460        5.000        4.200         4.75         0.00         15.0        1.035        1.555
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  31   Ga
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   31   40   71      620.245        4.100        3.900         3.99         0.00         41.1                          
   31   41   72      627.590        4.100        3.900         4.01         0.02         30.3        7.345             
   31   42   73      634.560        4.100        3.900         4.04         0.05         18.3        6.970       14.315
   31   43   74      642.385        4.100        3.900         4.06         0.08          0.7        7.825       14.795
   31   44   75      649.570        4.200        4.000         4.09         0.10          0.1        7.185       15.010
   31   45   76      656.990        4.200        4.000         4.11         0.11          0.1        7.420       14.605
   31   46   77      663.620        4.200        4.000         4.13         0.12          0.1        6.630       14.050
   31   47   78      669.880        4.200        4.000         4.15         0.10          0.8        6.260       12.890
   31   48   79      675.520        4.300        4.000         4.16         0.10          2.8        5.640       11.900
   31   49   80      680.620        4.300        4.000         4.17         0.04         34.3        5.100       10.740
   31   50   81      685.735        4.300        4.000         4.19         0.04         60.0        5.115       10.215
   31   51   82      690.020        4.300        4.000         4.22         0.06         37.5        4.285        9.400
   31   52   83      693.890        4.400        4.000         4.25         0.09         24.9        3.870        8.155
   31   53   84      697.495        4.400        4.000         4.29         0.09         28.6        3.605        7.475
   31   54   85      700.660        4.500        4.000         4.32         0.11         28.2        3.165        6.770
   31   55   86      703.745        4.500        4.000         4.35         0.10         51.8        3.085        6.250
   31   56   87      706.570        4.500        4.100         4.38         0.11         55.7        2.825        5.910
   31   57   88      709.085        4.600        4.100         4.42         0.13         59.5        2.515        5.340
   31   58   89      711.200        4.600        4.100         4.46         0.15         60.0        2.115        4.630
   31   59   90      713.830        4.700        4.100         4.47         0.12         39.7        2.630        4.745
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  32   Ge
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   32   40   72      628.660        4.100        3.900         4.01         0.00         58.6                          
   32   41   73      636.640        4.100        4.000         4.02         0.02         31.2        7.980             
   32   42   74      644.300        4.100        4.000         4.05         0.05         19.2        7.660       15.640
   32   43   75      652.710        4.100        4.000         4.07         0.08          1.0        8.410       16.070
   32   44   76      660.480        4.200        4.000         4.10         0.10          0.2        7.770       16.180
   32   45   77      668.510        4.200        4.000         4.12         0.11          0.1        8.030       15.800
   32   46   78      675.740        4.200        4.000         4.14         0.11          0.1        7.230       15.260
   32   47   79      682.605        4.200        4.000         4.15         0.10          0.7        6.865       14.095
   32   48   80      688.850        4.300        4.000         4.17         0.10          2.4        6.245       13.110
   32   49   81      694.385        4.300        4.000         4.17         0.04         33.6        5.535       11.780
   32   50   82      700.530        4.300        4.000         4.19         0.03         60.0        6.145       11.680
   32   51   83      704.670        4.300        4.000         4.22         0.06         38.1        4.140       10.285
   32   52   84      708.965        4.400        4.000         4.26         0.09         25.7        4.295        8.435
   32   53   85      712.885        4.400        4.100         4.29         0.09         27.8        3.920        8.215
   32   54   86      716.375        4.500        4.100         4.32         0.11         26.8        3.490        7.410
   32   55   87      719.685        4.500        4.100         4.35         0.10         47.4        3.310        6.800
   32   56   88      722.700        4.500        4.100         4.38         0.12         51.2        3.015        6.325
   32   57   89      726.060        4.600        4.100         4.42         0.13         59.8        3.360        6.375
   32   58   90      728.690        4.600        4.200         4.46         0.15         60.0        2.630        5.990
   32   59   91      731.345        4.700        4.100         4.47         0.13         45.4        2.655        5.285
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  33   As
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   33   40   73      636.335        4.100        4.000         4.02         0.00         50.4                          
   33   41   74      644.940        4.100        4.000         4.04         0.03         36.6        8.605             
   33   42   75      653.280        4.100        4.000         4.06         0.05         27.6        8.340       16.945
   33   43   76      662.150        4.200        4.000         4.08         0.07          1.5        8.870       17.210
   33   44   77      670.505        4.200        4.000         4.11         0.10          0.2        8.355       17.225
   33   45   78      679.110        4.200        4.000         4.13         0.10          0.1        8.605       16.960
   33   46   79      686.910        4.200        4.000         4.15         0.11          0.1        7.800       16.405
   33   47   80      694.430        4.200        4.000         4.16         0.10          0.4        7.520       15.320
   33   48   81      701.280        4.300        4.000         4.18         0.09          1.3        6.850       14.370
   33   49   82      707.320        4.300        4.000         4.18         0.03         44.0        6.040       12.890
   33   50   83      713.705        4.300        4.000         4.20         0.02         60.0        6.385       12.425
   33   51   84      718.655        4.300        4.100         4.23         0.06         38.7        4.950       11.335
   33   52   85      723.305        4.400        4.100         4.26         0.08         27.3        4.650        9.600
   33   53   86      727.545        4.400        4.100         4.29         0.09         27.4        4.240        8.890
   33   54   87      731.440        4.500        4.100         4.32         0.11         26.0        3.895        8.135
   33   55   88      735.040        4.500        4.100         4.35         0.11         45.5        3.600        7.495
   33   56   89      738.460        4.500        4.100         4.39         0.12         48.0        3.420        7.020
   33   57   90      742.185        4.600        4.100         4.42         0.13         59.9        3.725        7.145
   33   58   91      745.390        4.600        4.200         4.46         0.15         60.0        3.205        6.930
   33   59   92      748.315        4.600        4.200         4.47         0.14         53.8        2.925        6.130
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  34   Se
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   34   40   74      643.200        4.100        4.000         4.03         0.00         40.3                          
   34   41   75      652.405        4.100        4.000         4.05         0.02         35.5        9.205             
   34   42   76      661.195        4.100        4.000         4.07         0.05         26.9        8.790       17.995
   34   43   77      670.780        4.200        4.000         4.09         0.07          2.0        9.585       18.375
   34   44   78      679.650        4.200        4.000         4.12         0.09          0.4        8.870       18.455
   34   45   79      688.870        4.200        4.000         4.13         0.10          0.1        9.220       18.090
   34   46   80      697.210        4.200        4.100         4.16         0.11          0.1        8.340       17.560
   34   47   81      705.395        4.200        4.100         4.17         0.09          0.4        8.185       16.525
   34   48   82      712.800        4.300        4.100         4.18         0.09          0.9        7.405       15.590
   34   49   83      719.880        4.300        4.100         4.19         0.02         50.6        7.080       14.485
   34   50   84      726.645        4.300        4.100         4.20         0.02         60.0        6.765       13.845
   34   51   85      731.845        4.300        4.100         4.23         0.05         38.9        5.200       11.965
   34   52   86      736.820        4.400        4.100         4.26         0.08         28.5        4.975       10.175
   34   53   87      741.415        4.400        4.100         4.29         0.09         27.5        4.595        9.570
   34   54   88      745.710        4.400        4.100         4.32         0.10         25.5        4.295        8.890
   34   55   89      749.635        4.500        4.100         4.35         0.10         44.3        3.925        8.220
   34   56   90      753.430        4.500        4.200         4.39         0.12         46.1        3.795        7.720
   34   57   91      757.495        4.600        4.200         4.42         0.13         60.0        4.065        7.860
   34   58   92      761.180        4.600        4.200         4.46         0.15         60.0        3.685        7.750
   34   59   93      764.495        4.600        4.200         4.47         0.14         56.4        3.315        7.000
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  35   Br
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   35   45   80      697.820        4.200        4.100         4.14         0.09          0.3                          
   35   46   81      706.705        4.200        4.100         4.16         0.10          0.1        8.885             
   35   47   82      715.500        4.200        4.100         4.18         0.09          0.4        8.795       17.680
   35   48   83      723.465        4.300        4.100         4.19         0.08          0.7        7.965       16.760
   35   49   84      731.160        4.300        4.100         4.19         0.02         54.5        7.695       15.660
   35   50   85      738.825        4.300        4.100         4.21         0.01         60.0        7.665       15.360
   35   51   86      744.235        4.300        4.100         4.24         0.04         37.4        5.410       13.075
   35   52   87      749.605        4.400        4.100         4.26         0.07         29.5        5.370       10.780
   35   53   88      754.535        4.400        4.100         4.29         0.08         26.1        4.930       10.300
   35   54   89      759.240        4.400        4.100         4.32         0.09         24.3        4.705        9.635
   35   78  113      823.300        5.100        4.400         4.88         0.09          6.0                          
   35   79  114      824.105        5.100        4.400         4.90         0.09         16.8        0.805             
   35   80  115      824.845        5.100        4.400         4.93         0.09         26.8        0.740        1.545
   35   81  116      825.615        5.200        4.400         4.96         0.10         59.9        0.770        1.510
   35   82  117      826.620        5.200        4.400         4.99         0.11         60.0        1.005        1.775
   35   83  118      827.400        5.200        4.500         5.02         0.11         50.9        0.780        1.785
   35   84  119      828.275        5.300        4.500         5.05         0.12         46.2        0.875        1.655
   35   85  120      829.180        5.300        4.500         5.08         0.12         45.6        0.905        1.780
   35   86  121      829.920        5.300        4.500         5.11         0.13         43.4        0.740        1.645
   35   87  122      830.615        5.400        4.500         5.14         0.13         50.7        0.695        1.435
   35   88  123      831.240        5.400        4.500         5.17         0.13         50.4        0.625        1.320
