 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=9x10^14 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of        3271 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 -------------------------------------------------------------------------------------------------------------------
   26   30   56      490.460        3.700        3.700         3.70         0.12          0.6                          
   26   31   57      499.090        3.800        3.700         3.73         0.12         15.2        8.630             
   26   32   58      507.550        3.800        3.700         3.76         0.13         20.8        8.460       17.090
   26   33   59      515.415        3.800        3.700         3.78         0.10         46.6        7.865       16.325
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   27   30   57      497.620        3.700        3.700         3.71         0.11          2.6                          
   27   31   58      507.220        3.800        3.700         3.73         0.11         21.0        9.600             
   27   32   59      516.270        3.800        3.700         3.77         0.12         25.6        9.050       18.650
   27   33   60      524.965        3.900        3.700         3.79         0.11         58.2        8.695       17.745
   27   34   61      533.315        3.900        3.800         3.83         0.13         60.0        8.350       17.045
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  28   Ni
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   28   33   61      533.150        3.847        3.759         3.81         0.12         60.0                          
   28   34   62      542.590        3.889        3.777         3.84         0.13         60.0        9.440             
   28   35   63      550.770        3.909        3.772         3.85         0.10         60.0        8.180       17.620
   28   36   64      558.820        3.939        3.779         3.87         0.09         50.5        8.050       16.230
   28   40   68      589.650        4.061        3.816         3.96         0.00         17.6                          
   28   50   78      637.395        4.300        3.900         4.19         0.07         60.0                          
   28   51   79      640.570        4.400        3.900         4.22         0.07         41.5        3.175             
   28   52   80      643.265        4.400        4.000         4.26         0.09         30.4        2.695        5.870
   28   53   81      645.995        4.500        4.000         4.29         0.09         38.2        2.730        5.425
   28   54   82      648.385        4.500        4.000         4.33         0.10         36.9        2.390        5.120
   28   55   83      650.750        4.600        4.000         4.37         0.09         59.4        2.365        4.755
   28   56   84      652.830        4.600        4.000         4.40         0.10         59.6        2.080        4.445
   28   57   85      653.255        4.700        4.000         4.45         0.13         58.5        0.425        2.505
   28   58   86      653.850        4.700        4.000         4.49         0.15         59.5        0.595        1.020
   28   59   87      657.280        4.700        4.000         4.50         0.09         42.7        3.430        4.025
   28   60   88      657.200        4.800        4.000         4.54         0.12         47.1       -0.080        3.350
   28   61   89      660.035        4.800        4.000         4.57         0.07         59.6        2.835        2.755
   28   62   90      660.245        4.800        4.000         4.60         0.09         59.9        0.210        3.045
   28   63   91      660.950        4.900        4.000         4.64         0.08         52.3        0.705        0.915
   28   64   92      660.480        4.900        4.100         4.66         0.09         52.1       -0.470        0.235
   28   65   93      662.830        5.000        4.000         4.70         0.05         59.2        2.350        1.880
   28   66   94      662.780        5.000        4.100         4.72         0.05         58.3       -0.050        2.300
   28   67   95      662.710        5.000        4.100         4.75         0.03         55.7       -0.070       -0.120
   28   68   96      662.570        5.000        4.100         4.77         0.03         52.4       -0.140       -0.210
   28   69   97      663.030        5.000        4.100         4.79         0.00         19.6        0.460        0.320
   28   70   98      663.030        5.100        4.100         4.82         0.00          7.2                     0.460
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  29   Cu
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   29   50   79      654.680        4.300        4.000         4.19         0.05         60.0                          
   29   51   80      658.075        4.400        4.000         4.22         0.06         39.4        3.395             
   29   52   81      661.195        4.400        4.000         4.25         0.09         27.9        3.120        6.515
   29   53   82      664.175        4.500        4.000         4.29         0.09         34.7        2.980        6.100
   29   54   83      666.815        4.500        4.000         4.32         0.10         33.8        2.640        5.620
   29   55   84      669.510        4.500        4.000         4.36         0.09         58.2        2.695        5.335
   29   56   85      671.865        4.600        4.000         4.39         0.10         59.0        2.355        5.050
   29   57   86      672.770        4.600        4.000         4.44         0.13         59.1        0.905        3.260
   29   58   87      673.835        4.700        4.100         4.48         0.15         59.9        1.065        1.970
   29   59   88      676.675        4.700        4.000         4.49         0.10         41.9        2.840        3.905
   29   60   89      677.520        4.700        4.100         4.53         0.12         46.7        0.845        3.685
   29   61   90      680.215        4.800        4.000         4.55         0.07         59.3        2.695        3.540
   29   62   91      680.955        4.800        4.100         4.58         0.10         59.7        0.740        3.435
   29   63   92      681.390        4.800        4.100         4.61         0.09         56.3        0.435        1.175
   29   64   93      681.515        4.900        4.100         4.64         0.10         55.4        0.125        0.560
   29   65   94      684.190        4.900        4.100         4.68         0.05         59.1        2.675        2.800
   29   66   95      684.490        4.900        4.100         4.70         0.05         58.5        0.300        2.975
   29   67   96      684.720        5.000        4.100         4.72         0.04         56.0        0.230        0.530
   29   68   97      684.880        5.000        4.100         4.75         0.03         50.2        0.160        0.390
   29   69   98      685.640        5.000        4.100         4.77         0.00         18.7        0.760        0.920
   29   70   99      685.960        5.000        4.200         4.79         0.00          3.5        0.320        1.080
   29   71  100      685.325        5.100        4.200         4.87         0.01          1.2       -0.635       -0.315
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  30   Zn
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   30   50   80      671.205        4.300        4.000         4.19         0.05         59.9                          
   30   51   81      674.485        4.300        4.000         4.22         0.07         38.3        3.280             
   30   52   82      677.995        4.400        4.000         4.25         0.09         25.9        3.510        6.790
   30   53   83      681.290        4.400        4.000         4.29         0.09         30.9        3.295        6.805
   30   54   84      684.195        4.500        4.000         4.32         0.11         30.4        2.905        6.200
   30   55   85      687.135        4.500        4.000         4.35         0.10         54.5        2.940        5.845
   30   56   86      689.710        4.600        4.000         4.39         0.10         57.0        2.575        5.515
   30   57   87      691.320        4.600        4.100         4.43         0.13         59.4        1.610        4.185
   30   58   88      692.910        4.700        4.100         4.47         0.15         59.9        1.590        3.200
   30   59   89      695.600        4.700        4.100         4.48         0.11         40.1        2.690        4.280
   30   60   90      696.995        4.700        4.100         4.52         0.13         46.0        1.395        4.085
   30   61   91      699.455        4.800        4.100         4.54         0.08         57.6        2.460        3.855
   30   62   92      700.815        4.800        4.100         4.57         0.10         59.3        1.360        3.820
   30   63   93      701.560        4.800        4.100         4.60         0.10         57.1        0.745        2.105
   30   64   94      702.105        4.800        4.100         4.62         0.10         56.9        0.545        1.290
   30   65   95      704.680        4.900        4.100         4.66         0.06         58.7        2.575        3.120
   30   66   96      705.390        4.900        4.100         4.69         0.06         58.4        0.710        3.285
   30   67   97      705.910        4.900        4.100         4.71         0.04         55.9        0.520        1.230
   30   68   98      706.410        5.000        4.200         4.73         0.03         48.7        0.500        1.020
   30   69   99      707.460        5.000        4.200         4.75         0.00         18.4        1.050        1.550
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  31   Ga
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   31   40   71      620.215        4.100        3.900         3.99         0.00         55.0                          
   31   41   72      627.525        4.100        3.900         4.01         0.02         26.1        7.310             
   31   42   73      634.530        4.100        3.900         4.04         0.05         14.6        7.005       14.315
   31   43   74      642.370        4.100        3.900         4.06         0.08          1.0        7.840       14.845
   31   44   75      649.585        4.200        4.000         4.09         0.10          0.2        7.215       15.055
   31   45   76      657.010        4.200        4.000         4.11         0.11          0.2        7.425       14.640
   31   46   77      663.650        4.200        4.000         4.13         0.12          0.3        6.640       14.065
   31   47   78      669.900        4.200        4.000         4.15         0.10          1.4        6.250       12.890
   31   48   79      675.540        4.300        4.000         4.16         0.10          4.2        5.640       11.890
   31   49   80      680.695        4.300        4.000         4.17         0.05         37.8        5.155       10.795
   31   50   81      685.825        4.300        4.000         4.19         0.05         60.0        5.130       10.285
   31   51   82      690.080        4.300        4.000         4.22         0.07         38.2        4.255        9.385
   31   52   83      693.960        4.400        4.000         4.25         0.09         25.4        3.880        8.135
   31   53   84      697.575        4.400        4.000         4.29         0.10         29.0        3.615        7.495
   31   54   85      700.775        4.500        4.000         4.32         0.11         28.2        3.200        6.815
   31   55   86      703.875        4.500        4.000         4.35         0.10         49.3        3.100        6.300
   31   56   87      706.645        4.500        4.100         4.39         0.11         53.3        2.770        5.870
   31   57   88      709.105        4.600        4.100         4.42         0.13         59.6        2.460        5.230
   31   58   89      711.210        4.600        4.100         4.46         0.15         60.0        2.105        4.565
   31   59   90      713.860        4.700        4.100         4.48         0.12         40.7        2.650        4.755
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  32   Ge
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
