 =======================================================================================================================
 Table: Nuclear properties of UNEDF1* model for B=0 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
This is a highly detailed table predicting the properties 3247 nuclides (Z = 26~130, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
   30        58        88           692.920          4.700          4.100           4.47           0.15           60.0
   30        59        89           695.560          4.700          4.100           4.48           0.12           41.7
   30        60        90           697.000          4.700          4.100           4.52           0.13           46.5
   30        61        91           699.440          4.800          4.100           4.54           0.09           55.4
   30        62        92           700.820          4.800          4.100           4.57           0.11           57.9
   30        63        93           701.520          4.800          4.100           4.60           0.10           58.5
   30        64        94           702.080          4.800          4.100           4.62           0.10           58.4
   30        65        95           704.690          4.900          4.100           4.66           0.06           57.6
   30        66        96           705.390          4.900          4.100           4.69           0.06           57.2
   30        67        97           705.910          4.900          4.100           4.71           0.04           56.5
   30        68        98           706.400          5.000          4.200           4.73           0.03           52.2
   30        69        99           707.460          5.000          4.200           4.75           0.00           27.3
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  31   Ga
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   31        40        71           620.210          4.100          3.900           3.99           0.00           59.9
   31        41        72           627.480          4.100          3.900           4.01           0.02           19.3
   31        42        73           634.510          4.100          3.900           4.04           0.05           10.2
   31        43        74           642.370          4.100          3.900           4.06           0.08            1.5
   31        44        75           649.580          4.200          4.000           4.09           0.10            0.4
   31        45        76           657.010          4.200          4.000           4.11           0.11            0.6
   31        46        77           663.650          4.200          4.000           4.13           0.12            0.8
   31        47        78           669.910          4.200          4.000           4.15           0.10            3.2
   31        48        79           675.570          4.300          4.000           4.17           0.10            7.6
   31        49        80           680.870          4.300          4.000           4.17           0.06           43.1
   31        50        81           686.090          4.300          4.000           4.20           0.06           60.0
   31        51        82           690.220          4.300          4.000           4.22           0.07           39.5
   31        52        83           694.100          4.400          4.000           4.26           0.09           26.6
   31        53        84           697.720          4.400          4.000           4.29           0.10           29.6
   31        54        85           700.960          4.500          4.000           4.32           0.12           28.0
   31        55        86           704.090          4.500          4.100           4.36           0.11           44.6
   31        56        87           706.770          4.600          4.100           4.39           0.12           47.9
   31        57        88           709.130          4.600          4.100           4.42           0.13           59.7
   31        58        89           711.220          4.600          4.100           4.46           0.15           60.0
   31        59        90           713.870          4.700          4.100           4.48           0.12           42.1
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  32   Ge
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   32        40        72           628.650          4.100          3.900           4.01           0.00           59.2
   32        41        73           636.520          4.100          4.000           4.02           0.02           20.7
   32        42        74           644.210          4.100          4.000           4.05           0.05           10.8
   32        43        75           652.670          4.100          4.000           4.07           0.08            1.8
   32        44        76           660.450          4.200          4.000           4.10           0.10            0.5
   32        45        77           668.500          4.200          4.000           4.12           0.11            0.6
   32        46        78           675.720          4.200          4.000           4.14           0.11            0.8
   32        47        79           682.600          4.200          4.000           4.15           0.10            2.9
   32        48        80           688.850          4.300          4.000           4.17           0.10            6.6
   32        49        81           694.690          4.300          4.000           4.18           0.06           44.0
   32        50        82           700.470          4.300          4.000           4.20           0.06           60.0
   32        51        83           704.950          4.300          4.000           4.23           0.07           39.7
   32        52        84           709.200          4.400          4.000           4.26           0.09           26.9
   32        53        85           713.160          4.400          4.100           4.29           0.10           29.3
   32        54        86           716.750          4.500          4.100           4.32           0.12           27.3
   32        55        87           720.130          4.500          4.100           4.36           0.12           41.6
   32        56        88           723.080          4.500          4.100           4.39           0.13           44.5
   32        57        89           726.090          4.600          4.100           4.42           0.13           59.8
   32        58        90           728.690          4.600          4.200           4.46           0.15           60.0
   32        59        91           731.410          4.700          4.100           4.48           0.13           47.2
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  33   As
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   33        40        73           636.340          4.100          4.000           4.02           0.00           54.2
   33        41        74           644.830          4.100          4.000           4.04           0.02           24.5
   33        42        75           653.090          4.100          4.000           4.06           0.05           15.0
   33        43        76           662.110          4.200          4.000           4.08           0.07            2.5
   33        44        77           670.440          4.200          4.000           4.11           0.10            0.7
   33        45        78           679.090          4.200          4.000           4.13           0.10            0.7
   33        46        79           686.880          4.200          4.000           4.15           0.11            0.6
   33        47        80           694.390          4.200          4.000           4.16           0.10            2.5
   33        48        81           701.240          4.300          4.000           4.18           0.09            5.3
   33        49        82           707.690          4.300          4.000           4.18           0.05           51.0
   33        50        83           714.050          4.300          4.000           4.20           0.05           60.0
   33        51        84           718.900          4.300          4.100           4.23           0.07           40.1
   33        52        85           723.500          4.400          4.100           4.26           0.09           27.9
   33        53        86           727.810          4.400          4.100           4.29           0.10           29.6
   33        54        87           731.740          4.500          4.100           4.32           0.12           27.2
   33        55        88           735.430          4.500          4.100           4.36           0.12           40.9
   33        56        89           738.720          4.500          4.100           4.39           0.13           43.6
   33        57        90           742.230          4.600          4.200           4.42           0.13           59.9
   33        58        91           745.360          4.600          4.200           4.46           0.15           60.0
   33        59        92           748.300          4.600          4.200           4.48           0.14           52.8
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  34   Se
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   34        40        74           643.190          4.100          4.000           4.03           0.00           55.7
   34        41        75           652.310          4.100          4.000           4.05           0.02           23.6
   34        42        76           661.120          4.100          4.000           4.07           0.05           15.3
   34        43        77           670.740          4.200          4.000           4.09           0.07            3.3
   34        44        78           679.600          4.200          4.000           4.12           0.09            1.0
   34        45        79           688.840          4.200          4.000           4.13           0.10            0.8
   34        46        80           697.170          4.200          4.100           4.16           0.11            0.7
   34        47        81           705.320          4.200          4.100           4.17           0.09            2.2
   34        48        82           712.750          4.300          4.100           4.18           0.09            4.3
   34        49        83           720.040          4.300          4.100           4.19           0.03           54.0
   34        50        84           726.860          4.300          4.100           4.21           0.04           60.0
   34        51        85           732.020          4.300          4.100           4.23           0.06           40.2
   34        52        86           736.960          4.400          4.100           4.26           0.08           28.4
   34        53        87           741.620          4.400          4.100           4.29           0.09           29.9
   34        54        88           745.860          4.500          4.100           4.33           0.11           27.1
   34        55        89           749.890          4.500          4.100           4.36           0.12           40.5
   34        56        90           753.520          4.500          4.200           4.39           0.13           43.0
   34        57        91           757.520          4.600          4.200           4.42           0.13           60.0
   34        58        92           761.120          4.600          4.200           4.46           0.15           60.0
   34        59        93           764.390          4.600          4.200           4.47           0.14           55.2
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  35   Br
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   35        45        80           697.780          4.200          4.100           4.14           0.09            1.0
   35        46        81           706.660          4.200          4.100           4.16           0.10            0.8
   35        47        82           715.420          4.200          4.100           4.18           0.09            2.0
   35        48        83           723.430          4.300          4.100           4.19           0.08            3.6
   35        49        84           731.370          4.300          4.100           4.20           0.03           56.4
   35        50        85           738.910          4.300          4.100           4.21           0.03           60.0
   35        51        86           744.350          4.300          4.100           4.24           0.05           38.5
   35        52        87           749.640          4.400          4.100           4.27           0.08           28.4
   35        53        88           754.680          4.400          4.100           4.29           0.09           29.8
   35        54        89           759.240          4.400          4.200           4.33           0.11           26.8
   35        78       113           823.120          5.100          4.400           4.88           0.10           11.1
   35        79       114           823.920          5.100          4.400           4.91           0.10           23.1
   35        80       115           824.800          5.100          4.400           4.93           0.10           30.0
   35        81       116           825.570          5.200          4.400           4.97           0.11           59.9
   35        82       117           826.560          5.200          4.400           5.00           0.11           60.0
   35        83       118           827.350          5.200          4.500           5.02           0.12           51.1
   35        84       119           828.140          5.300          4.500           5.05           0.12           45.3
   35        85       120           829.070          5.300          4.500           5.08           0.12           44.2
   35        86       121           829.750          5.400          4.500           5.11           0.13           41.9
   35        87       122           830.510          5.400          4.500           5.14           0.13           47.9
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  36   Kr
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   36        45        81           705.950          4.200          4.100           4.15           0.09            1.0
   36        46        82           715.350          4.200          4.100           4.17           0.10            0.9
   36        47        83           724.750          4.200          4.100           4.18           0.08            0.7
   36        48        84           733.310          4.300          4.100           4.20           0.08            3.4
   36        49        85           742.040          4.300          4.100           4.20           0.02           56.3
   36        50        86           750.140          4.300          4.100           4.22           0.02           60.0
   36        51        87           755.910          4.300          4.100           4.24           0.04           37.9
   36        52        88           761.520          4.400          4.100           4.27           0.07           27.7
   36        53        89           766.930          4.400          4.200           4.30           0.08           29.4
   36        54        90           771.780          4.400          4.200           4.33           0.10           26.4
   36        78       114           844.250          5.000          4.400           4.86           0.08            8.3
   36        79       115           845.470          5.100          4.400           4.88           0.08           20.7
   36        80       116           846.500          5.100          4.400           4.91           0.08           27.9
   36        81       117           847.470          5.100          4.500           4.93           0.08           59.7
   36        82       118           848.510          5.200          4.500           4.96           0.09           60.0
   36        83       119           849.490          5.200          4.500           4.99           0.10           48.8
   36        84       120           850.300          5.200          4.500           5.02           0.11           43.0
   36        85       121           851.540          5.300          4.500           5.05           0.11           43.1
   36        86       122           852.280          5.300          4.500           5.08           0.12           40.2
   36        87       123           853.280          5.300          4.500           5.11           0.12           48.0
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  37   Rb
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   37        45        82           713.400          4.200          4.100           4.16           0.08            1.2
   37        46        83           723.330          4.200          4.100           4.18           0.09            0.9
   37        47        84           733.290          4.200          4.100           4.19           0.07            1.8
   37        48        85           742.420          4.300          4.100           4.21           0.07            2.6
   37        49        86           751.960          4.300          4.100           4.21           0.01           56.4
   37        50        87           760.560          4.300          4.100           4.23           0.01           60.0
   37        51        88           766.690          4.300          4.200           4.25           0.04           36.4
   37        52        89           772.610          4.400          4.200           4.28           0.06           27.1
   37        53        90           778.400          4.400          4.200           4.30           0.08           28.8
   37        54        91           783.590          4.400          4.200           4.34           0.10           25.9
   37        78       115           864.770          5.000          4.400           4.85           0.08            7.5
   37        79       116           866.410          5.000          4.500           4.87           0.07           20.2
   37        80       117           867.830          5.100          4.500           4.89           0.07           24.8
