 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=3*10^17 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4553 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
   28        44        72           613.270          4.200          3.900           4.05           0.08            1.9
   28        45        73           619.900          4.200          3.900           4.08           0.09            1.6
   28        46        74           625.970          4.200          3.900           4.10           0.10            0.3
   28        47        75           630.990          4.200          3.900           4.11           0.09            0.4
   28        48        76           634.100          4.200          3.900           4.13           0.08            2.1
   28        49        77           637.690          4.300          3.900           4.14           0.03            1.8
   28        50        78           640.255          4.300          3.900           4.16           0.01           58.4
   28        51        79           642.585          4.300          4.000           4.21           0.07           17.5
   28        52        80           647.470          4.400          4.000           4.23           0.06           32.8
   28        53        81           648.805          4.400          4.000           4.28           0.06           48.1
   28        54        82           650.215          4.500          4.000           4.30           0.06           47.0
   28        55        83           654.240          4.500          4.000           4.33           0.04           58.6
   28        56        84           655.145          4.500          4.000           4.37           0.05           43.8
   28        57        85           658.090          4.600          4.000           4.40           0.03           21.7
   28        58        86           657.595          4.700          4.000           4.45           0.06           49.9
   28        59        87           661.005          4.700          4.000           4.49           0.02           48.4
   28        60        88           660.505          4.800          4.000           4.53           0.04           56.3
   28        61        89           661.540          4.800          4.000           4.57           0.01           11.5
   28        62        90           662.215          4.900          4.000           4.62           0.01           51.2
   28        63        91           661.135          5.000          4.000           4.68           0.03           59.1
   28        64        92           661.170          5.000          4.100           4.73           0.04           57.1
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  29   Cu
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   29        40        69           603.610          4.100          3.900           4.03           0.22            3.4
   29        41        70           608.750          4.100          3.900           3.99           0.03           42.3
   29        42        71           617.270          4.100          3.900           4.01           0.04            5.8
   29        43        72           624.095          4.100          3.900           4.03           0.06            5.7
   29        44        73           626.585          4.200          3.900           4.06           0.08            0.3
   29        45        74           632.405          4.200          3.900           4.08           0.08            2.0
   29        46        75           643.765          4.200          3.900           4.10           0.10            2.3
   29        47        76           648.320          4.200          3.900           4.11           0.08            2.0
   29        48        77           650.425          4.200          4.000           4.13           0.08            5.0
   29        49        78           655.815          4.200          4.000           4.14           0.02            9.9
   29        50        79           660.195          4.300          4.000           4.16           0.02           55.2
   29        51        80           664.345          4.300          4.000           4.21           0.07           22.0
   29        52        81           667.650          4.400          4.000           4.23           0.07           34.0
   29        53        82           669.035          4.400          4.000           4.27           0.06           41.2
   29        54        83           673.760          4.400          4.000           4.29           0.06           47.5
   29        55        84           672.505          4.500          4.000           4.32           0.04           59.1
   29        56        85           674.355          4.500          4.000           4.35           0.06           48.0
   29        57        86           677.320          4.600          4.000           4.39           0.03           49.4
   29        58        87           679.735          4.600          4.000           4.43           0.10           56.0
   29        59        88           680.070          4.700          4.000           4.46           0.02           45.4
   29        60        89           679.055          4.700          4.000           4.50           0.04           45.2
   29        61        90           682.185          4.800          4.000           4.54           0.02           51.5
   29        62        91           681.515          4.800          4.100           4.56           0.07           56.8
   29        63        92           680.625          4.800          4.100           4.61           0.03           49.5
   29        64        93           682.705          4.900          4.100           4.64           0.05           51.7
   29        65        94           683.210          4.900          4.100           4.66           0.03           57.8
   29        66        95           680.810          4.900          4.100           4.69           0.05           59.4
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  30   Zn
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   30        40        70           613.500          4.100          4.000           4.04           0.22            4.1
   30        41        71           624.575          4.100          3.900           3.99           0.04           50.5
   30        42        72           629.720          4.100          3.900           4.01           0.03           15.7
   30        43        73           634.825          4.100          3.900           4.04           0.05            2.7
   30        44        74           644.815          4.200          3.900           4.06           0.07            1.7
   30        45        75           650.125          4.200          3.900           4.08           0.08            0.4
   30        46        76           655.775          4.200          4.000           4.10           0.09            4.4
   30        47        77           661.940          4.200          4.000           4.12           0.07            2.8
   30        48        78           668.750          4.200          4.000           4.14           0.07            8.9
   30        49        79           673.355          4.200          4.000           4.14           0.02           13.2
   30        50        80           677.300          4.300          4.000           4.16           0.01           58.8
   30        51        81           681.535          4.300          4.000           4.20           0.06           31.9
   30        52        82           683.925          4.300          4.000           4.23           0.07           40.5
   30        53        83           687.020          4.400          4.000           4.26           0.06           48.3
   30        54        84           689.735          4.400          4.000           4.29           0.06           47.1
   30        55        85           694.405          4.500          4.000           4.31           0.05           59.1
   30        56        86           696.290          4.500          4.000           4.34           0.06           49.5
   30        57        87           697.450          4.500          4.000           4.38           0.07           55.1
   30        58        88           697.825          4.600          4.100           4.41           0.10           51.1
   30        59        89           702.310          4.600          4.000           4.45           0.02           43.3
   30        60        90           702.915          4.700          4.100           4.48           0.06           45.5
   30        61        91           704.225          4.700          4.100           4.51           0.06           54.9
   30        62        92           704.445          4.700          4.100           4.54           0.07           56.5
   30        63        93           706.045          4.800          4.100           4.57           0.06           57.2
   30        64        94           706.365          4.800          4.100           4.60           0.06           50.6
   30        65        95           707.500          4.800          4.100           4.63           0.04           52.6
   30        66        96           706.315          4.900          4.100           4.65           0.05           57.0
   30        67        97           706.255          4.900          4.200           4.67           0.03           59.3
   30        68        98           706.165          4.900          4.200           4.70           0.03           57.9
   30        69        99           705.085          4.900          4.200           4.71           0.01            3.9
   30        70       100           704.870          5.000          4.200           4.74           0.00            6.9
   30        71       101           701.510          5.100          4.200           4.85           0.03            0.7
   30        72       102           702.950          5.000          4.200           4.82           0.04            1.0
   30        73       103           706.740          5.300          4.200           5.00           0.10            0.9
   30        74       104           708.790          5.300          4.200           4.99           0.09            2.2
   30        75       105           708.920          5.400          4.200           5.07           0.14            5.4
   30        76       106           707.370          5.400          4.200           5.08           0.12            6.3
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  31   Ga
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   31        40        71           623.850          4.100          4.000           4.08           0.25            7.4
   31        41        72           633.340          4.100          3.900           4.01           0.02           50.8
   31        42        73           644.105          4.100          3.900           4.02           0.03           15.5
   31        43        74           649.075          4.100          3.900           4.05           0.05            0.7
   31        44        75           657.065          4.200          4.000           4.07           0.07            0.3
   31        45        76           662.825          4.200          4.000           4.09           0.07            1.8
