 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=8*10^17 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4601 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 -------------------------------------------------------------------------------------------------------------------
   26   30   56      540.190        3.800        3.800         3.77         0.00         40.5                          
   26   31   57      553.130        3.800        3.800         3.78         0.02         57.2       12.940             
   26   32   58      559.305        3.800        3.800         3.80         0.02         45.3        6.175       19.115
   26   33   59      567.575        3.900        3.800         3.82         0.06         35.9        8.270       14.445
   26   34   60      567.190        3.900        3.800         3.86         0.08         21.3       -0.385        7.885
   26   35   61      569.550        4.000        3.800         3.91         0.14          1.3        2.360        1.975
   26   36   62      591.335        4.000        3.800         3.93         0.17          2.7       21.785       24.145
   26   37   63      586.045        4.100        3.900         3.97         0.20          1.4       -5.290       16.495
   26   38   64      585.790        4.100        4.000         4.06         0.27          0.2       -0.255       -5.545
   26   39   65      589.920        4.200        4.000         4.10         0.28          2.9        4.130        3.875
   26   40   66      598.505        4.200        3.900         4.10         0.26          4.8        8.585       12.715
   26   41   67      610.175        4.200        3.900         4.06         0.18         14.3       11.670       20.255
   26   42   68      616.320        4.200        3.900         4.09         0.18         14.7        6.145       17.815
   26   43   69      622.390        4.200        3.900         4.11         0.18          8.1        6.070       12.215
   26   44   70      624.610        4.300        3.900         4.15         0.18          1.4        2.220        8.290
   26   45   71      619.500        4.300        4.000         4.20         0.19          2.8       -5.110       -2.890
   26   46   72      630.280        4.300        3.900         4.18         0.14          5.2       10.780        5.670
   26   47   73      620.430        4.400        4.000         4.25         0.15         21.1       -9.850        0.930
   26   48   74      629.205        4.400        3.900         4.25         0.13          8.5        8.775       -1.075
   26   49   75      637.425        4.500        3.900         4.32         0.12         22.6        8.220       16.995
   26   50   76      635.225        4.500        4.000         4.34         0.11          5.2       -2.200        6.020
   26   51   77      642.915        4.800        3.900         4.51         0.13         43.3        7.690        5.490
   26   52   78      638.110        4.700        4.000         4.43         0.08         24.5       -4.805        2.885
   26   53   79      652.190        4.700        4.000         4.45         0.05         37.2       14.080        9.275
   26   54   80      645.250        4.700        4.000         4.45         0.02         18.4       -6.940        7.140
   26   55   81      648.305        5.000        4.000         4.68         0.00          8.6        3.055       -3.885
   26   56   82      652.090        5.000        4.000         4.70         0.00         50.3        3.785        6.840
   26   57   83      654.460        5.200        4.000         4.88         0.01         10.8        2.370        6.155
   26   58   84      656.750        5.500        4.000         5.04         0.01         30.3        2.290        4.660
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   27   30   57      551.430        3.800        3.800         3.77         0.01          0.5                          
   27   31   58      566.990        3.800        3.800         3.78         0.02         59.2       15.560             
   27   32   59      567.680        3.800        3.800         3.80         0.02         53.2        0.690       16.250
   27   33   60      577.960        3.900        3.800         3.83         0.04         31.4       10.280       10.970
   27   34   61      591.040        3.900        3.800         3.85         0.06         28.6       13.080       23.360
   27   35   62      585.115        3.900        3.800         3.89         0.05         39.8       -5.925        7.155
   27   36   63      599.945        4.000        3.800         3.90         0.08         33.7       14.830        8.905
   27   37   64      610.200        4.000        3.800         3.92         0.08         38.6       10.255       25.085
   27   38   65      616.810        4.000        3.800         3.94         0.08         49.9        6.610       16.865
   27   39   66      602.750        4.000        4.000         4.04         0.08         32.3      -14.060       -7.450
   27   40   67      617.460        4.100        3.900         3.98         0.03         14.1       14.710        0.650
   27   41   68      627.340        4.100        3.900         4.03         0.11         34.9        9.880       24.590
   27   42   69      636.315        4.100        3.900         4.03         0.09          9.8        8.975       18.855
   27   43   70      639.235        4.200        3.900         4.08         0.13         25.8        2.920       11.895
   27   44   71      633.420        4.200        3.900         4.12         0.12         23.2       -5.815       -2.895
   27   45   72      644.300        4.300        3.900         4.15         0.14         38.5       10.880        5.065
   27   46   73      651.315        4.300        3.900         4.16         0.12         31.1        7.015       17.895
   27   47   74      657.040        4.400        3.900         4.21         0.13         29.3        5.725       12.740
   27   48   75      662.225        4.400        3.900         4.22         0.11         22.5        5.185       10.910
   27   49   76      657.235        4.500        4.000         4.28         0.12         45.6       -4.990        0.195
   27   50   77      661.835        4.400        4.000         4.28         0.08         51.5        4.600       -0.390
   27   51   78      668.110        4.700        4.000         4.44         0.10         47.0        6.275       10.875
   27   52   79      659.245        4.600        4.000         4.41         0.08         54.2       -8.865       -2.590
   27   53   80      670.090        4.600        4.000         4.41         0.04         34.4       10.845        1.980
   27   54   81      675.040        4.600        4.000         4.41         0.02         29.1        4.950       15.795
   27   55   82      674.265        4.900        4.000         4.65         0.01         23.3       -0.775        4.175
   27   56   83      676.905        4.900        4.000         4.66         0.01         47.6        2.640        1.865
   27   57   84      680.775        5.200        4.000         4.85         0.01         43.1        3.870        6.510
   27   58   85      682.660        5.300        4.000         4.92         0.01          6.1        1.885        5.755
   27   59   86      665.770        5.600        4.000         5.17         0.03         40.1      -16.890      -15.005
   27   60   87      680.840        5.600        4.000         5.19         0.02         34.4       15.070       -1.820
   27   61   88      679.090        6.000        4.000         5.45         0.02         44.2       -1.750       13.320
   27   62   89      685.785        6.000        4.000         5.44         0.02         38.0        6.695        4.945
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  28   Ni
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   28   30   58      567.690        3.800        3.800         3.79         0.01         14.0                          
   28   31   59      571.400        3.800        3.800         3.80         0.02         47.9        3.710             
   28   32   60      589.260        3.800        3.800         3.81         0.01         53.0       17.860       21.570
   28   33   61      594.615        3.900        3.800         3.84         0.05         57.4        5.355       23.215
   28   34   62      603.860        3.900        3.900         3.90         0.05         43.3        9.245       14.600
   28   35   63      614.010        3.900        3.800         3.89         0.04         48.6       10.150       19.395
   28   36   64      614.500        4.000        3.800         3.90         0.05         35.5        0.490       10.640
   28   37   65      621.655        4.000        3.900         3.92         0.05         33.9        7.155        7.645
   28   38   66      626.475        4.000        3.900         3.95         0.06         43.9        4.820       11.975
   28   39   67      625.215        4.000        3.900         3.97         0.03         18.2       -1.260        3.560
   28   40   68      634.060        4.100        3.900         3.99         0.02         49.3        8.845        7.585
   28   41   69      642.960        4.100        3.900         4.01         0.06         34.5        8.900       17.745
   28   42   70      647.825        4.100        3.900         4.04         0.05         29.2        4.865       13.765
   28   43   71      656.120        4.200        3.900         4.09         0.13         30.2        8.295       13.160
   28   44   72      653.250        4.200        3.900         4.10         0.11         32.9       -2.870        5.425
   28   45   73      662.485        4.300        4.000         4.15         0.14         38.2        9.235        6.365
   28   46   74      669.110        4.300        4.000         4.15         0.11         36.4        6.625       15.860
   28   47   75      675.015        4.300        4.000         4.21         0.14         32.0        5.905       12.530
   28   48   76      672.955        4.300        4.000         4.20         0.08         15.6       -2.060        3.845
   28   49   77      678.980        4.400        4.000         4.25         0.10         41.0        6.025        3.965
   28   50   78      675.785        4.400        4.000         4.29         0.11         58.8       -3.195        2.830
   28   51   79      683.595        4.500        4.000         4.32         0.11         54.5        7.810        4.615
   28   52   80      691.240        4.500        4.000         4.33         0.07         54.1        7.645       15.455
   28   53   81      688.335        4.500        4.000         4.37         0.05         44.4       -2.905        4.740
   28   54   82      700.695        4.600        4.000         4.38         0.03         38.0       12.360        9.455
   28   55   83      697.820        4.900        4.000         4.62         0.01         48.2       -2.875        9.485
   28   56   84      700.585        4.900        4.000         4.60         0.01         17.6        2.765       -0.110
   28   57   85      696.535        5.200        4.000         4.83         0.01         11.4       -4.050       -1.285
   28   58   86      711.845        5.200        4.000         4.84         0.01         37.6       15.310       11.260
   28   59   87      708.720        5.600        4.000         5.14         0.03          1.9       -3.125       12.185
   28   60   88      705.825        5.600        4.000         5.15         0.04         39.7       -2.895       -6.020
   28   61   89      704.695        6.000        4.000         5.42         0.03         14.8       -1.130       -4.025
   28   62   90      710.925        6.000        4.000         5.46         0.03         51.8        6.230        5.100
   28   63   91      708.505        6.300        4.000         5.70         0.03         31.8       -2.420        3.810
   28   64   92      713.885        6.300        4.000         5.71         0.02         32.3        5.380        2.960
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  29   Cu
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   29   40   69      649.735        4.200        4.000         4.08         0.21         12.0                          
   29   41   70      666.650        4.100        3.900         4.01         0.04         41.7       16.915             
   29   42   71      670.215        4.100        3.900         4.03         0.04         18.0        3.565       20.480
   29   43   72      672.430        4.200        3.900         4.06         0.08         25.8        2.215        5.780
   29   44   73      678.490        4.200        4.000         4.08         0.06         15.3        6.060        8.275
   29   45   74      685.340        4.200        4.000         4.13         0.10         29.1        6.850       12.910
   29   46   75      694.600        4.200        4.000         4.13         0.07         25.7        9.260       16.110
   29   47   76      694.705        4.300        4.000         4.19         0.11         19.4        0.105        9.365
   29   48   77      701.320        4.300        4.000         4.18         0.05         21.6        6.615        6.720
   29   49   78      704.880        4.400        4.000         4.23         0.08         43.2        3.560       10.175
   29   50   79      700.110        4.400        4.000         4.24         0.06         55.5       -4.770       -1.210
   29   51   80      713.600        4.400        4.000         4.30         0.11         57.4       13.490        8.720
   29   52   81      709.380        4.500        4.000         4.31         0.07         56.3       -4.220        9.270
   29   53   82      707.125        4.500        4.000         4.36         0.05         52.7       -2.255       -6.475
   29   54   83      711.010        4.500        4.000         4.37         0.03         55.8        3.885        1.630
   29   55   84      724.590        4.600        4.000         4.40         0.00         50.8       13.580       17.465
   29   56   85      729.345        4.600        4.000         4.43         0.02         59.8        4.755       18.335
   29   57   86      707.920        5.200        4.100         4.82         0.01          5.0      -21.425      -16.670
   29   58   87      729.820        5.200        4.000         4.82         0.02         50.1       21.900        0.475
   29   59   88      735.535        5.600        4.000         5.13         0.02         32.8        5.715       27.615
   29   60   89      729.935        5.600        4.100         5.15         0.04         52.9       -5.600        0.115
   29   61   90      726.685        6.000        4.000         5.44         0.02         37.2       -3.250       -8.850
   29   62   91      734.950        6.000        4.000         5.43         0.04         58.6        8.265        5.015
   29   63   92      728.810        6.300        4.000         5.69         0.02         14.6       -6.140        2.125
   29   64   93      739.330        6.300        4.000         5.67         0.03         46.8       10.520        4.380
   29   65   94      731.300        6.500        4.000         5.90         0.03         54.4       -8.030        2.490
   29   66   95      723.205        6.500        4.100         5.89         0.05         38.0       -8.095      -16.125
