 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=3*10^16 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4601 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 -------------------------------------------------------------------------------------------------------------------
   26   30   56      491.500        3.700        3.700         3.70         0.13          0.2                          
   26   31   57      500.220        3.800        3.700         3.72         0.12         17.6        8.720             
   26   32   58      508.975        3.800        3.700         3.76         0.14         19.8        8.755       17.475
   26   33   59      516.225        3.900        3.700         3.80         0.17         15.4        7.250       16.005
   26   34   60      523.630        3.900        3.800         3.85         0.21         12.0        7.405       14.655
   26   35   61      530.970        3.900        3.800         3.87         0.21          5.8        7.340       14.745
   26   36   62      537.775        4.000        3.800         3.91         0.24          2.3        6.805       14.145
   26   37   63      544.155        4.000        3.800         3.93         0.23          0.4        6.380       13.185
   26   38   64      550.135        4.100        3.800         3.97         0.26          2.4        5.980       12.360
   26   39   65      556.375        4.100        3.800         3.98         0.23          1.9        6.240       12.220
   26   40   66      562.140        4.100        3.900         4.01         0.23          5.1        5.765       12.005
   26   41   67      566.440        4.100        3.900         4.02         0.21          8.8        4.300       10.065
   26   42   68      570.585        4.200        3.900         4.04         0.20          9.8        4.145        8.445
   26   43   69      574.970        4.200        3.900         4.06         0.18          6.0        4.385        8.530
   26   44   70      580.690        4.200        3.900         4.11         0.21          4.8        5.720       10.105
   26   45   71      583.770        4.200        3.900         4.10         0.17          1.4        3.080        8.800
   26   46   72      590.620        4.300        3.900         4.15         0.19          2.3        6.850        9.930
   26   47   73      592.570        4.300        3.900         4.16         0.17          4.2        1.950        8.800
   26   48   74      597.070        4.300        3.900         4.18         0.15          4.7        4.500        6.450
   26   49   75      597.290        4.400        3.900         4.22         0.15          2.0        0.220        4.720
   26   50   76      602.205        4.400        3.900         4.26         0.16          2.9        4.915        5.135
   26   51   77      603.445        4.400        3.900         4.24         0.12         20.7        1.240        6.155
   26   52   78      603.960        4.600        3.900         4.37         0.12          4.4        0.515        1.755
   26   53   79      604.310        4.500        3.900         4.31         0.10         19.4        0.350        0.865
   26   54   80      606.930        4.600        3.900         4.41         0.08         10.2        2.620        2.970
   26   55   81      610.680        4.600        3.900         4.40         0.08         19.9        3.750        6.370
   26   56   82      610.270        4.900        3.900         4.62         0.07         11.7       -0.410        3.340
   26   57   83      610.120        4.900        3.900         4.60         0.07          6.4       -0.150       -0.560
   26   58   84      609.200        5.100        3.900         4.78         0.07          5.4       -0.920       -1.070
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  27   Co
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   27   30   57      497.870        3.700        3.700         3.70         0.08          3.3                          
   27   31   58      507.690        3.800        3.700         3.73         0.11         20.5        9.820             
   27   32   59      516.675        3.800        3.700         3.77         0.12         25.3        8.985       18.805
   27   33   60      525.260        3.800        3.700         3.79         0.11         58.7        8.585       17.570
   27   34   61      533.565        3.900        3.800         3.82         0.12         59.9        8.305       16.890
   27   35   62      541.515        3.900        3.800         3.83         0.10         55.7        7.950       16.255
   27   36   63      548.650        3.900        3.800         3.86         0.09         43.7        7.135       15.085
   27   37   64      555.775        4.000        3.800         3.88         0.07         59.5        7.125       14.260
   27   38   65      562.465        4.000        3.800         3.90         0.06         59.8        6.690       13.815
   27   39   66      569.385        4.000        3.800         3.92         0.00          3.5        6.920       13.610
   27   40   67      575.655        4.000        3.800         3.95         0.00          1.6        6.270       13.190
   27   41   68      580.350        4.100        3.800         3.97         0.02          2.2        4.695       10.965
   27   42   69      584.905        4.100        3.800         4.00         0.05          0.8        4.555        9.250
   27   43   70      590.255        4.100        3.900         4.02         0.08          0.0        5.350        9.905
   27   44   71      594.970        4.200        3.900         4.05         0.10          0.0        4.715       10.065
   27   45   72      599.885        4.200        3.900         4.08         0.11          0.0        4.915        9.630
   27   46   73      604.100        4.200        3.900         4.10         0.12          0.1        4.215        9.130
   27   47   74      607.945        4.200        3.900         4.11         0.10          0.6        3.845        8.060
   27   48   75      611.260        4.200        3.900         4.13         0.09          2.7        3.315        7.160
   27   49   76      614.590        4.200        3.900         4.13         0.02         43.2        3.330        6.645
   27   50   77      617.915        4.300        3.900         4.15         0.03         59.7        3.325        6.655
   27   51   78      620.310        4.300        3.900         4.19         0.06         28.9        2.395        5.720
   27   52   79      622.395        4.400        3.900         4.23         0.08         20.9        2.085        4.480
   27   53   80      624.430        4.400        3.900         4.27         0.08         33.7        2.035        4.120
   27   54   81      626.145        4.500        3.900         4.30         0.09         36.6        1.715        3.750
   27   55   82      627.920        4.500        4.000         4.34         0.08         59.2        1.775        3.490
   27   56   83      629.500        4.600        4.000         4.37         0.08         59.9        1.580        3.355
   27   57   84      630.260        4.600        4.000         4.41         0.08         59.5        0.760        2.340
   27   58   85      630.035        4.700        4.000         4.46         0.11         50.4       -0.225        0.535
   27   59   86      633.170        4.700        4.000         4.48         0.02         46.8        3.135        2.910
   27   60   87      633.720        4.800        4.000         4.52         0.04         44.2        0.550        3.685
   27   61   88      634.535        4.800        4.000         4.57         0.01         48.5        0.815        1.365
   27   62   89      634.945        4.900        4.000         4.61         0.01         57.8        0.410        1.225
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  28   Ni
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   28   30   58      503.910        3.700        3.700         3.70         0.04         24.3                          
   28   31   59      514.270        3.800        3.700         3.74         0.09         31.7       10.360             
   28   32   60      523.950        3.800        3.800         3.78         0.12         30.3        9.680       20.040
   28   33   61      533.635        3.800        3.800         3.80         0.12         59.9        9.685       19.365
