 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=4*10^16 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4601 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
  Z=  28   Ni
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   28   30   58      504.015        3.700        3.700         3.70         0.04         28.0                          
   28   31   59      514.200        3.800        3.700         3.74         0.09         30.8       10.185             
   28   32   60      523.920        3.800        3.800         3.78         0.12         29.7        9.720       19.905
   28   33   61      533.635        3.800        3.800         3.80         0.12         59.8        9.715       19.435
   28   34   62      542.200        3.900        3.800         3.84         0.13         60.0        8.565       18.280
   28   35   63      550.875        3.900        3.800         3.84         0.10         58.8        8.675       17.240
   28   36   64      558.665        3.900        3.800         3.87         0.09         47.9        7.790       16.465
   28   37   65      566.485        4.000        3.800         3.89         0.07         59.5        7.820       15.610
   28   38   66      573.950        4.000        3.800         3.91         0.06         59.9        7.465       15.285
   28   39   67      581.515        4.000        3.800         3.93         0.00          1.2        7.565       15.030
   28   40   68      582.690        4.000        3.800         3.95         0.00          4.9        1.175        8.740
   28   41   69      593.535        4.100        3.800         3.97         0.02          7.9       10.845       12.020
   28   42   70      598.595        4.100        3.900         4.00         0.05          5.3        5.060       15.905
   28   43   71      604.505        4.100        3.900         4.02         0.07          0.1        5.910       10.970
   28   44   72      609.875        4.200        3.900         4.05         0.10          0.0        5.370       11.280
   28   45   73      615.470        4.200        3.900         4.08         0.11          0.0        5.595       10.965
   28   46   74      620.615        4.200        3.900         4.10         0.11          0.1        5.145       10.740
   28   47   75      624.715        4.200        3.900         4.11         0.10          0.3        4.100        9.245
   28   48   76      628.535        4.200        3.900         4.13         0.09          1.3        3.820        7.920
   28   49   77      633.095        4.200        3.900         4.12         0.01         58.1        4.560        8.380
   28   50   78      637.520        4.300        3.900         4.14         0.01         59.6        4.425        8.985
   28   51   79      639.200        4.300        3.900         4.18         0.04         23.4        1.680        6.105
   28   52   80      641.330        4.400        4.000         4.22         0.07         19.9        2.130        3.810
   28   53   81      643.710        4.400        4.000         4.25         0.07         35.7        2.380        4.510
   28   54   82      645.795        4.500        4.000         4.29         0.08         36.4        2.085        4.465
   28   55   83      647.835        4.500        4.000         4.32         0.07         58.9        2.040        4.125
   28   56   84      649.700        4.500        4.000         4.35         0.07         60.0        1.865        3.905
   28   57   85      650.270        4.600        4.000         4.40         0.09         58.5        0.570        2.435
   28   58   86      649.130        4.600        4.000         4.44         0.14         58.0       -1.140       -0.570
   28   59   87      654.750        4.700        4.000         4.46         0.02         46.4        5.620        4.480
   28   60   88      655.225        4.700        4.000         4.50         0.05         43.3        0.475        6.095
   28   61   89      656.140        4.800        4.000         4.54         0.01         49.5        0.915        1.390
   28   62   90      655.170        4.800        4.000         4.57         0.05         59.7       -0.970       -0.055
   28   63   91      656.440        4.800        4.000         4.61         0.03         50.3        1.270        0.300
   28   64   92      655.910        4.900        4.000         4.64         0.05         51.3       -0.530        0.740
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  29   Cu
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   29   40   69      600.430        4.100        3.900         4.04         0.24          3.1                          
   29   41   70      606.415        4.100        3.900         3.98         0.02         29.9        5.985             
   29   42   71      611.840        4.100        3.900         4.00         0.05          5.9        5.425       11.410
   29   43   72      618.260        4.100        3.900         4.03         0.07          0.0        6.420       11.845
   29   44   73      624.020        4.200        3.900         4.06         0.10          0.1        5.760       12.180
   29   45   74      630.190        4.200        3.900         4.08         0.11          0.0        6.170       11.930
   29   46   75      635.565        4.200        3.900         4.10         0.12          0.0        5.375       11.545
   29   47   76      640.655        4.200        3.900         4.11         0.10          0.2        5.090       10.465
   29   48   77      645.095        4.200        4.000         4.13         0.09          0.9        4.440        9.530
   29   49   78      650.130        4.200        3.900         4.13         0.01         59.1        5.035        9.475
